id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Pax
2402808;1302603;MANAUS;1100205;PORTO VELHO;26338
4852911;1302603;MANAUS;3550308;SÃO PAULO;45669
2702703;1400100;BOA VISTA;1302603;MANAUS;39609
2804005;1501402;BELÉM;1302603;MANAUS;128657
3101705;1501402;BELÉM;1600303;MACAPÁ;86281
3612702;1501402;BELÉM;2111300;SÃO LUÍS;38959
3805802;1501402;BELÉM;2304400;FORTALEZA;37175
4805959;1501402;BELÉM;3304557;RIO DE JANEIRO;92759
5051710;1501402;BELÉM;3550308;SÃO PAULO;28925
6801510;1501402;BELÉM;5300108;BRASÍLIA;68127
3607003;2304400;FORTALEZA;1302603;MANAUS;32425
4415700;2304400;FORTALEZA;2111300;SÃO LUÍS;38412
4515401;2304400;FORTALEZA;2211001;TERESINA;24163
4712502;2304400;FORTALEZA;2408102;NATAL;47711
4916006;2304400;FORTALEZA;2611606;RECIFE;106664
5231808;2304400;FORTALEZA;2927408;SALVADOR;30131
5608957;2304400;FORTALEZA;3304557;RIO DE JANEIRO;72816
5854708;2304400;FORTALEZA;3550308;SÃO PAULO;71035
5019708;2408102;NATAL;2611606;RECIFE;45814
5539014;2611606;RECIFE;2927408;SALVADOR;117066
5916163;2611606;RECIFE;3304557;RIO DE JANEIRO;87020
6161914;2611606;RECIFE;3550308;SÃO PAULO;160145
5315908;2704302;MACEIÓ;2611606;RECIFE;51568
5631710;2704302;MACEIÓ;2927408;SALVADOR;25959
6254610;2704302;MACEIÓ;3550308;SÃO PAULO;20406
5411914;2800308;ARACAJU;2611606;RECIFE;27801
5727716;2800308;ARACAJU;2927408;SALVADOR;50184
6104865;2800308;ARACAJU;3304557;RIO DE JANEIRO;27324
6477716;2927408;SALVADOR;3550308;SÃO PAULO;233677
6033608;3106200;BELO HORIZONTE;2927408;SALVADOR;50967
6311509;3106200;BELO HORIZONTE;3205309;VITÓRIA;38904
6410757;3106200;BELO HORIZONTE;3304557;RIO DE JANEIRO;440458
6656508;3106200;BELO HORIZONTE;3550308;SÃO PAULO;413122
8406308;3106200;BELO HORIZONTE;5300108;BRASÍLIA;176089
4607160;3304557;RIO DE JANEIRO;1302603;MANAUS;53228
5415857;3304557;RIO DE JANEIRO;2111300;SÃO LUÍS;20505
5712659;3304557;RIO DE JANEIRO;2408102;NATAL;29932
6008859;3304557;RIO DE JANEIRO;2704302;MACEIÓ;24455
6231965;3304557;RIO DE JANEIRO;2927408;SALVADOR;322342
6509866;3304557;RIO DE JANEIRO;3205309;VITÓRIA;196045
6854865;3304557;RIO DE JANEIRO;3550308;SÃO PAULO;2548100
7619459;3304557;RIO DE JANEIRO;4314902;PORTO ALEGRE;134321
6755617;3550308;SÃO PAULO;3205309;VITÓRIA;43951
7411459;4106902;CURITIBA;3304557;RIO DE JANEIRO;140280
7657210;4106902;CURITIBA;3550308;SÃO PAULO;340026
8312309;4106902;CURITIBA;4205407;FLORIANÓPOLIS;25854
8421804;4106902;CURITIBA;4314902;PORTO ALEGRE;78038
7755715;4205407;FLORIANÓPOLIS;3550308;SÃO PAULO;53406
8520309;4205407;FLORIANÓPOLIS;4314902;PORTO ALEGRE;72228
7865210;4314902;PORTO ALEGRE;3550308;SÃO PAULO;440813
6203608;5103403;CUIABÁ;1100205;PORTO VELHO;25997
8653711;5103403;CUIABÁ;3550308;SÃO PAULO;51374
10312110;5103403;CUIABÁ;5208707;GOIÂNIA;22075
8759015;5208707;GOIÂNIA;3550308;SÃO PAULO;90204
6602711;5300108;BRASÍLIA;1302603;MANAUS;124769
7411408;5300108;BRASÍLIA;2111300;SÃO LUÍS;22037
7511109;5300108;BRASÍLIA;2211001;TERESINA;28581
7604508;5300108;BRASÍLIA;2304400;FORTALEZA;67309
7911714;5300108;BRASÍLIA;2611606;RECIFE;56878
8227516;5300108;BRASÍLIA;2927408;SALVADOR;90849
8604665;5300108;BRASÍLIA;3304557;RIO DE JANEIRO;548729
8850416;5300108;BRASÍLIA;3550308;SÃO PAULO;203808
9407010;5300108;BRASÍLIA;4106902;CURITIBA;89765
9615010;5300108;BRASÍLIA;4314902;PORTO ALEGRE;37262
10403511;5300108;BRASÍLIA;5103403;CUIABÁ;32315
10508815;5300108;BRASÍLIA;5208707;GOIÂNIA;84999
